backend,profile,attack,attack_profile,n,n_clean_correct,n_attacked_correct,n_attack_success,mean_linf,mean_l2,clean_acc_pct,attacked_acc_pct,cond_asr_pct,cond_asr_ci95_lo_pct,cond_asr_ci95_hi_pct
CPU,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,2200,1298,556,1033,0.0009383489665130326,0.014299858232790725,59.0,25.272727272727273,79.58397534668721,77.30528297618847,81.68806921043699
CPU,rfgsm/eps0.03_default,rfgsm,eps0.03_default,2200,1298,539,1045,0.0009383489253443415,0.013463722879532677,59.0,24.5,80.50847457627118,78.26467164194256,82.57222280051496
CPU,tpgd/eps0.03_default,tpgd,eps0.03_default,2200,1298,854,616,0.0009383489289690905,0.013363341334995511,59.0,38.81818181818182,47.45762711864407,44.75252469319492,50.17773410326697
CPU,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,2200,1298,420,1185,0.0006234494668949686,0.006828987599796814,59.0,19.090909090909093,91.29429892141756,89.63616089197929,92.70872653518542
CPU,deepfool/package_default,deepfool,package_default,2200,1298,323,1279,0.001382522093600398,0.006046835408879787,59.0,14.681818181818182,98.5362095531587,97.72504702275208,99.06092140843033
CPU,fab/eps0.005,fab,eps0.005,2200,1298,1180,252,2.2203485772144007e-05,0.0003396511918949676,59.0,53.63636363636364,19.41448382126348,17.354180215390286,21.65529682083286
CPU,fab/eps0.01,fab,eps0.01,2200,1298,1027,471,6.809601118219224e-05,0.0010090304597643234,59.0,46.68181818181818,36.28659476117103,33.714794203547015,38.93932900161098
CPU,fab/eps0.03,fab,eps0.03,2200,1298,568,1030,0.0002679994512684387,0.0037823234405351697,59.0,25.818181818181817,79.35285053929123,77.06571482889153,81.46675179377594
CPU,square/eps0.03_default,square,eps0.03_default,2200,1298,484,1088,0.0008547136514772606,0.013638256055129016,59.0,22.0,83.82126348228043,81.71852835339885,85.72439250579016
CPU,apgd/eps0.03_default,apgd,eps0.03_default,2200,1298,517,1068,0.000850416494729164,0.012312606224008048,59.0,23.5,82.28043143297381,80.10878325607388,84.2615671767284
