backend,snr_db,profile,attack,attack_profile,n,n_clean_correct,n_attacked_correct,n_attack_success,mean_linf,mean_l2,clean_acc_pct,attacked_acc_pct,cond_asr_pct,cond_asr_ci95_lo_pct,cond_asr_ci95_hi_pct
CPU,2,deepfool/package_default,deepfool,package_default,110,93,15,92,0.0015892785746307418,0.006738894345339298,84.54545454545455,13.636363636363635,98.9247311827957,94.15794088135158,99.80994069020443
CPU,2,fab/eps0.005,fab,eps0.005,110,93,82,14,1.3170284695326842e-05,0.00020181090402772932,84.54545454545455,74.54545454545455,15.053763440860216,9.184093232479833,23.69599135926586
CPU,2,fab/eps0.01,fab,eps0.01,110,93,72,30,5.6916328453954215e-05,0.0008425087893259345,84.54545454545455,65.45454545454545,32.25806451612903,23.624803528547357,42.298931725723534
CPU,2,fab/eps0.03,fab,eps0.03,110,93,30,77,0.0003050453291507059,0.004308760001140962,84.54545454545455,27.27272727272727,82.79569892473118,73.86593031568492,89.12352875975374
CPU,2,square/eps0.03_default,square,eps0.03_default,110,93,27,80,0.0007297571452164794,0.011642832316554568,84.54545454545455,24.545454545454547,86.02150537634408,77.53978731638328,91.64535625827884
CPU,2,apgd/eps0.03_default,apgd,eps0.03_default,110,93,28,79,0.0007222301062111415,0.010432240693483955,84.54545454545455,25.454545454545453,84.94623655913979,76.30400864073414,90.81590676752016
CPU,2,apgdt/eps0.03_default,apgdt,eps0.03_default,110,93,23,85,0.0007697165372188339,0.01058898374827079,84.54545454545455,20.909090909090907,91.39784946236558,83.9345381553405,95.57674625136072
CPU,2,autoattack/eps0.03_standard,autoattack,eps0.03_standard,110,93,21,86,0.0007804587435781173,0.011292604426275011,84.54545454545455,19.090909090909093,92.47311827956989,85.27013398161071,96.30637859149836
CPU,2,ead/package_default,ead,package_default,110,93,14,93,0.0024578817310446236,0.006376423172200243,84.54545454545455,12.727272727272727,100.0,96.03310973796383,99.99999999999999
CPU,2,ALL/ALL_24,ALL,ALL_24,2640,2232,1002,1519,0.0007428532345466955,0.009033097816895465,84.54545454545455,37.95454545454545,68.05555555555556,66.09158118239053,69.95748418968233
CPU,4,fgsm/eps0.005,fgsm,eps0.005,110,96,85,12,0.00012896898075595494,0.0020595854867926527,87.27272727272727,77.27272727272727,12.5,7.297128992395069,20.588642068966127
CPU,4,fgsm/eps0.01,fgsm,eps0.01,110,96,83,18,0.0002579361165936764,0.004118491821414315,87.27272727272727,75.45454545454545,18.75,12.202372252361302,27.70243696543969
CPU,4,fgsm/eps0.03,fgsm,eps0.03,110,96,53,53,0.0007738047702745446,0.012344010597602834,87.27272727272727,48.18181818181818,55.208333333333336,45.25145906400809,64.76440606635843
CPU,4,fgsm/eps0.05,fgsm,eps0.05,110,96,34,72,0.0012896746026605562,0.020549002687700716,87.27272727272727,30.909090909090907,75.0,65.49000204355595,82.58615058220326
CPU,4,bim/eps0.03_default,bim,eps0.03_default,110,96,38,69,0.0007738047379957509,0.011227974253283259,87.27272727272727,34.54545454545455,71.875,62.17391618504083,79.89271736249847
CPU,4,pgd/eps0.005,pgd,eps0.005,110,96,86,12,0.00012896897123106392,0.002001834313639138,87.27272727272727,78.18181818181819,12.5,7.297128992395069,20.588642068966127
CPU,4,pgd/eps0.01,pgd,eps0.01,110,96,78,23,0.00025793609701473273,0.003931139479391228,87.27272727272727,70.9090909090909,23.958333333333336,16.528105536529168,33.39256881163833
CPU,4,pgd/eps0.03,pgd,eps0.03,110,96,38,69,0.0007738047337624655,0.011148196314884803,87.27272727272727,34.54545454545455,71.875,62.17391618504083,79.89271736249847
CPU,4,mifgsm/eps0.03_default,mifgsm,eps0.03_default,110,96,38,69,0.00077380477450783,0.011683308959684538,87.27272727272727,34.54545454545455,71.875,62.17391618504083,79.89271736249847
CPU,4,difgsm/eps0.03_default,difgsm,eps0.03_default,110,96,42,63,0.0007738047708037027,0.01174562704241406,87.27272727272727,38.18181818181819,65.625,55.687844240445074,74.35975115065445
CPU,4,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,110,96,38,69,0.00077380477450783,0.011767465104772234,87.27272727272727,34.54545454545455,71.875,62.17391618504083,79.89271736249847
CPU,4,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,110,96,38,69,0.0007738047649829401,0.011802215865728478,87.27272727272727,34.54545454545455,71.875,62.17391618504083,79.89271736249847
CPU,4,rfgsm/eps0.03_default,rfgsm,eps0.03_default,110,96,38,69,0.0007738047401123936,0.011169560905545897,87.27272727272727,34.54545454545455,71.875,62.17391618504083,79.89271736249847
CPU,4,tpgd/eps0.03_default,tpgd,eps0.03_default,110,96,67,37,0.0007738047464623172,0.0110183010004799,87.27272727272727,60.909090909090914,38.54166666666667,29.425614956558316,48.539481756635396
CPU,4,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,110,96,17,89,0.0007898364988663228,0.008339737050175473,87.27272727272727,15.454545454545453,92.70833333333334,85.70680669280426,96.42328737620105
CPU,4,deepfool/package_default,deepfool,package_default,110,96,12,95,0.0018217474719593651,0.00802052911580668,87.27272727272727,10.909090909090908,98.95833333333334,94.33324450728878,99.81588771815633
CPU,4,fab/eps0.005,fab,eps0.005,110,96,86,12,1.023295626509819e-05,0.00015775022090629308,87.27272727272727,78.18181818181819,12.5,7.297128992395069,20.588642068966127
CPU,4,fab/eps0.01,fab,eps0.01,110,96,79,22,3.410682574294802e-05,0.0005098654533254217,87.27272727272727,71.81818181818181,22.916666666666664,15.648804837983807,32.26869648411039
