backend,snr_db,profile,attack,attack_profile,topk,n,n_clean_correct,n_attack_success,n_recovered,n_defended_correct,n_retained,n_retained_nodef,n_clean_topk_correct,n_clean_degraded,recovery_pct,recovery_ci95_lo_pct,recovery_ci95_hi_pct,defended_acc_pct,retention_pct,retention_nodef_pct,retention_gain_pp,clean_topk_acc_pct,clean_degradation_pct
CPU,16,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,10,110,94,68,20,35,27,26,40,56,29.411764705882355,19.918862654604713,41.10650426372672,31.818181818181817,28.723404255319153,27.659574468085108,1.0638297872340452,36.36363636363637,59.57446808510638
CPU,16,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,20,110,94,68,15,49,38,26,85,12,22.058823529411764,13.84889157967965,33.25696352377016,44.54545454545455,40.42553191489361,27.659574468085108,12.765957446808503,77.27272727272727,12.76595744680851
CPU,16,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,30,110,94,68,12,47,36,26,87,9,17.647058823529413,10.393485385088718,28.360662629432117,42.72727272727273,38.297872340425535,27.659574468085108,10.638297872340427,79.0909090909091,9.574468085106384
CPU,16,vmifgsm/eps0.03_default,vmifgsm,eps0.03_default,40,110,94,68,7,42,32,26,92,2,10.294117647058822,5.076512677817478,19.758123521821723,38.18181818181819,34.04255319148936,27.659574468085108,6.382978723404253,83.63636363636363,2.127659574468085
CPU,16,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,10,110,94,64,18,36,26,30,40,56,28.125,18.593226105484582,40.1341623995035,32.72727272727273,27.659574468085108,31.914893617021278,-4.25531914893617,36.36363636363637,59.57446808510638
CPU,16,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,20,110,94,64,11,48,36,30,85,12,17.1875,9.87764126731623,28.21344149016591,43.63636363636363,38.297872340425535,31.914893617021278,6.382978723404257,77.27272727272727,12.76595744680851
CPU,16,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,30,110,94,64,10,48,37,30,87,9,15.625,8.714748876961673,26.428290202305327,43.63636363636363,39.361702127659576,31.914893617021278,7.446808510638299,79.0909090909091,9.574468085106384
CPU,16,vnifgsm/eps0.03_default,vnifgsm,eps0.03_default,40,110,94,64,3,41,30,30,92,2,4.6875,1.6068725432185196,12.899860788542522,37.27272727272727,31.914893617021278,31.914893617021278,0.0,83.63636363636363,2.127659574468085
CPU,16,rfgsm/eps0.03_default,rfgsm,eps0.03_default,10,110,94,67,20,37,28,27,40,56,29.850746268656714,20.23136115497689,41.655439820721,33.63636363636363,29.78723404255319,28.723404255319153,1.063829787234038,36.36363636363637,59.57446808510638
CPU,16,rfgsm/eps0.03_default,rfgsm,eps0.03_default,20,110,94,67,12,46,35,27,85,12,17.91044776119403,10.55348794125944,28.747713612629795,41.81818181818181,37.234042553191486,28.723404255319153,8.510638297872333,77.27272727272727,12.76595744680851
CPU,16,rfgsm/eps0.03_default,rfgsm,eps0.03_default,30,110,94,67,9,43,33,27,87,9,13.432835820895523,7.231009995983991,23.600591774727004,39.09090909090909,35.1063829787234,28.723404255319153,6.38297872340425,79.0909090909091,9.574468085106384
CPU,16,rfgsm/eps0.03_default,rfgsm,eps0.03_default,40,110,94,67,6,43,31,27,92,2,8.955223880597014,4.169038288133413,18.192963699399336,39.09090909090909,32.97872340425532,28.723404255319153,4.255319148936167,83.63636363636363,2.127659574468085
CPU,16,tpgd/eps0.03_default,tpgd,eps0.03_default,10,110,94,35,10,40,33,59,40,56,28.57142857142857,16.326363398295566,45.05524806982108,36.36363636363637,35.1063829787234,62.76595744680851,-27.659574468085104,36.36363636363637,59.57446808510638
CPU,16,tpgd/eps0.03_default,tpgd,eps0.03_default,20,110,94,35,7,64,59,59,85,12,20.0,10.042319445900802,35.89193660946252,58.18181818181818,62.76595744680851,62.76595744680851,0.0,77.27272727272727,12.76595744680851
CPU,16,tpgd/eps0.03_default,tpgd,eps0.03_default,30,110,94,35,4,62,56,59,87,9,11.428571428571429,4.53510585448975,25.95179478812023,56.36363636363636,59.57446808510638,62.76595744680851,-3.191489361702125,79.0909090909091,9.574468085106384
CPU,16,tpgd/eps0.03_default,tpgd,eps0.03_default,40,110,94,35,2,61,56,59,92,2,5.714285714285714,1.5812829614043955,18.60738073937003,55.45454545454545,59.57446808510638,62.76595744680851,-3.191489361702125,83.63636363636363,2.127659574468085
CPU,16,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,10,110,94,86,33,37,33,8,40,56,38.372093023255815,28.801279969390333,48.9373177403566,33.63636363636363,35.1063829787234,8.51063829787234,26.595744680851062,36.36363636363637,59.57446808510638
CPU,16,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,20,110,94,86,46,58,53,8,85,12,53.48837209302325,43.02411599878987,63.654304688286025,52.72727272727272,56.38297872340425,8.51063829787234,47.87234042553191,77.27272727272727,12.76595744680851
CPU,16,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,30,110,94,86,46,59,53,8,87,9,53.48837209302325,43.02411599878987,63.654304688286025,53.63636363636364,56.38297872340425,8.51063829787234,47.87234042553191,79.0909090909091,9.574468085106384
CPU,16,cw/c1_steps20_lr0.01,cw,c1_steps20_lr0.01,40,110,94,86,43,56,50,8,92,2,50.0,39.6607904655242,60.3392095344758,50.90909090909091,53.191489361702125,8.51063829787234,44.680851063829785,83.63636363636363,2.127659574468085
