backend,profile,attack,attack_profile,topk,n,n_clean_correct,n_attack_success,n_recovered,n_defended_correct,n_retained,n_retained_nodef,n_clean_topk_correct,n_clean_degraded,recovery_pct,recovery_ci95_lo_pct,recovery_ci95_hi_pct,defended_acc_pct,retention_pct,retention_nodef_pct,retention_gain_pp,clean_topk_acc_pct,clean_degradation_pct
CPU,square/eps0.03_default,square,eps0.03_default,20,2200,1298,1088,325,701,529,210,1002,426,29.871323529411764,27.22633768174086,32.65795322639087,31.863636363636367,40.75500770416024,16.178736517719567,24.576271186440675,45.54545454545455,32.81972265023113
CPU,square/eps0.03_default,square,eps0.03_default,30,2200,1298,1088,376,756,581,210,1101,307,34.55882352941176,31.791771203582194,37.43453415060106,34.36363636363636,44.761171032357474,16.178736517719567,28.582434514637907,50.04545454545455,23.651771956856702
CPU,square/eps0.03_default,square,eps0.03_default,40,2200,1298,1088,414,781,623,210,1211,165,38.05147058823529,35.21330371283031,40.97371828743053,35.5,47.996918335901384,16.178736517719567,31.818181818181817,55.04545454545454,12.711864406779661
CPU,apgd/eps0.03_default,apgd,eps0.03_default,10,2200,1298,1068,265,562,370,230,594,822,24.812734082397004,22.31560124518281,27.4904148676458,25.545454545454543,28.50539291217257,17.719568567026194,10.785824345146377,27.0,63.32819722650231
CPU,apgd/eps0.03_default,apgd,eps0.03_default,20,2200,1298,1068,201,655,428,230,1002,426,18.820224719101123,16.589249097500126,21.274703934365775,29.772727272727273,32.973805855161785,17.719568567026194,15.254237288135592,45.54545454545455,32.81972265023113
CPU,apgd/eps0.03_default,apgd,eps0.03_default,30,2200,1298,1068,175,652,402,230,1101,307,16.38576779026217,14.28700034219382,18.725489563030987,29.63636363636364,30.970724191063177,17.719568567026194,13.251155624036983,50.04545454545455,23.651771956856702
CPU,apgd/eps0.03_default,apgd,eps0.03_default,40,2200,1298,1068,140,620,369,230,1211,165,13.108614232209737,11.216021521477156,15.265652636346157,28.18181818181818,28.42835130970724,17.719568567026194,10.708782742681045,55.04545454545454,12.711864406779661
CPU,apgdt/eps0.03_default,apgdt,eps0.03_default,10,2200,1298,1094,275,571,376,204,594,822,25.13711151736746,22.656516632215656,27.791708321183823,25.954545454545453,28.96764252696456,15.716486902927581,13.25115562403698,27.0,63.32819722650231
CPU,apgdt/eps0.03_default,apgdt,eps0.03_default,20,2200,1298,1094,212,651,416,204,1002,426,19.378427787934186,17.14498239252878,21.826177016988943,29.59090909090909,32.04930662557781,15.716486902927581,16.332819722650232,45.54545454545455,32.81972265023113
CPU,apgdt/eps0.03_default,apgdt,eps0.03_default,30,2200,1298,1094,217,667,421,204,1101,307,19.83546617915905,17.57981790111522,22.302219726170904,30.318181818181817,32.43451463790446,15.716486902927581,16.718027734976882,50.04545454545455,23.651771956856702
CPU,apgdt/eps0.03_default,apgdt,eps0.03_default,40,2200,1298,1094,205,667,409,204,1211,165,18.738574040219376,16.537050657986246,21.158879246655733,30.318181818181817,31.51001540832049,15.716486902927581,15.79352850539291,55.04545454545454,12.711864406779661
CPU,autoattack/eps0.03_standard,autoattack,eps0.03_standard,10,2200,1298,1114,275,565,374,184,594,822,24.685816876122082,22.243600763366654,27.30202358985119,25.681818181818183,28.8135593220339,14.175654853620955,14.637904468412945,27.0,63.32819722650231
CPU,autoattack/eps0.03_standard,autoattack,eps0.03_standard,20,2200,1298,1114,230,648,414,184,1002,426,20.646319569120287,18.372200955979896,23.12219324083653,29.454545454545457,31.895223420647152,14.175654853620955,17.719568567026197,45.54545454545455,32.81972265023113
CPU,autoattack/eps0.03_standard,autoattack,eps0.03_standard,30,2200,1298,1114,194,615,378,184,1101,307,17.41472172351885,15.300701885424736,19.752708186270564,27.954545454545453,29.121725731895225,14.175654853620955,14.94607087827427,50.04545454545455,23.651771956856702
CPU,autoattack/eps0.03_standard,autoattack,eps0.03_standard,40,2200,1298,1114,157,588,341,184,1211,165,14.093357271095153,12.173230706209516,16.260279014666857,26.727272727272727,26.27118644067797,14.175654853620955,12.095531587057014,55.04545454545454,12.711864406779661
CPU,ead/package_default,ead,package_default,10,2200,1298,1298,449,585,449,0,594,822,34.591679506933744,32.05282631589945,37.22146942023312,26.590909090909093,34.591679506933744,0.0,34.591679506933744,27.0,63.32819722650231
CPU,ead/package_default,ead,package_default,20,2200,1298,1298,713,866,713,0,1002,426,54.930662557781204,52.2132044769744,57.6190208874632,39.36363636363636,54.930662557781204,0.0,54.930662557781204,45.54545454545455,32.81972265023113
CPU,ead/package_default,ead,package_default,30,2200,1298,1298,803,941,803,0,1101,307,61.86440677966102,59.19062997407233,64.46816230910561,42.77272727272727,61.86440677966102,0.0,61.86440677966102,50.04545454545455,23.651771956856702
CPU,ead/package_default,ead,package_default,40,2200,1298,1298,892,1009,892,0,1211,165,68.7211093990755,66.14672591744302,71.1850047631559,45.86363636363636,68.7211093990755,0.0,68.7211093990755,55.04545454545454,12.711864406779661
NPU,fgsm/eps0.005,fgsm,eps0.005,10,2200,1202,179,57,532,410,1023,533,793,31.843575418994412,25.461500802011916,38.98860245676508,24.181818181818183,34.109816971713805,85.108153078203,-50.9983361064892,24.227272727272727,65.97337770382696
NPU,fgsm/eps0.005,fgsm,eps0.005,20,2200,1202,179,59,910,761,1023,946,401,32.960893854748605,26.495809418573568,40.14197979350945,41.36363636363637,63.311148086522465,85.108153078203,-21.797004991680538,43.0,33.36106489184692
